Name,type,District,person name,designation,Contact details
New Brunswick,City,District-17,James Cahill,Mayor,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
New Brunswick,City,District-17,Glenn Fleming,Council  President,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
New Brunswick,City,District-17,John Anderson,Council Vice  President,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
New Brunswick,City,District-17,Kevin Egan,Council  Member,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
New Brunswick,City,District-17,Rebecca Escobar,Council  Member,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
New Brunswick,City,District-17,Suzanne M. Sicora Ludwig,Council  Member,"City Hall, 78 Bayard Street, New Brunswick, NJ 08901-0269."
