Name,type,District,person name,designation,Contact details
Perth Amboy,City,District-19,Fernando Irizarry,Council Member,
Perth Amboy,City,District-19,Fernando Gonzalez,Council Member,
Perth Amboy,City,District-19,Helmin Caba,Councilman,
Perth Amboy,City,District-19,Joel Pabon Sr.,Council Member,
Perth Amboy,City,District-19,William A. Petrick,Council Member,
Perth Amboy,City,District-19,Wilda Diaz,Mayor,
