Name,State,Class,Address,Contact Number,Conatct URL
"Booker, Cory A.",D - NJ,Class II,359 Dirksen Senate Office Building Washington DC 20510,(202) 224-3224,www.booker.senate.gov/?p=contact
"Menendez, Robert",D - NJ,Class I,528 Hart Senate Office Building Washington DC 20510,(202) 224-4744,www.menendez.senate.gov/contact
